ip,sent,recv,loss,delay_ms,colo,updated_at_utc
172.65.43.41,1,1,0.00,18.99,DFW,2026-09-08T08:08:20Z
172.65.236.125,1,1,0.00,19.35,DFW,2026-09-08T08:08:20Z
172.65.58.51,1,1,0.00,19.44,DFW,2026-09-08T08:08:20Z
172.65.40.138,1,1,0.00,19.48,DFW,2026-09-08T08:08:20Z
172.64.189.234,1,1,0.00,19.53,DFW,2026-09-08T08:08:20Z
172.65.50.201,1,1,0.00,19.69,DFW,2026-09-08T08:08:20Z
172.65.162.194,1,1,0.00,19.77,DFW,2026-09-08T08:08:20Z
172.64.230.249,1,1,0.00,19.78,DFW,2026-09-08T08:08:20Z
172.64.151.72,1,1,0.00,19.84,DFW,2026-09-08T08:08:20Z
172.64.146.202,1,1,0.00,20.07,DFW,2026-09-08T08:08:20Z
172.64.157.42,1,1,0.00,20.11,DFW,2026-09-08T08:08:20Z
172.65.170.202,1,1,0.00,20.11,DFW,2026-09-08T08:08:20Z
172.65.216.127,1,1,0.00,20.15,DFW,2026-09-08T08:08:20Z
172.64.153.166,1,1,0.00,20.21,DFW,2026-09-08T08:08:20Z
172.64.156.174,1,1,0.00,20.27,DFW,2026-09-08T08:08:20Z
172.65.234.28,1,1,0.00,20.31,DFW,2026-09-08T08:08:20Z
172.64.188.41,1,1,0.00,20.32,DFW,2026-09-08T08:08:20Z
172.65.36.33,1,1,0.00,20.33,DFW,2026-09-08T08:08:20Z
172.64.149.33,1,1,0.00,20.37,DFW,2026-09-08T08:08:20Z
172.64.186.4,1,1,0.00,20.41,DFW,2026-09-08T08:08:20Z
172.65.168.88,1,1,0.00,20.41,DFW,2026-09-08T08:08:20Z
172.65.49.245,1,1,0.00,20.43,DFW,2026-09-08T08:08:20Z
172.64.147.176,1,1,0.00,20.60,DFW,2026-09-08T08:08:20Z
172.64.158.111,1,1,0.00,20.60,DFW,2026-09-08T08:08:20Z
172.65.62.168,1,1,0.00,20.60,DFW,2026-09-08T08:08:20Z
172.64.187.53,1,1,0.00,20.67,DFW,2026-09-08T08:08:20Z
172.65.205.183,1,1,0.00,20.71,DFW,2026-09-08T08:08:20Z
172.64.176.65,1,1,0.00,20.76,DFW,2026-09-08T08:08:20Z
172.64.184.37,1,1,0.00,20.79,DFW,2026-09-08T08:08:20Z
172.64.148.36,1,1,0.00,20.82,DFW,2026-09-08T08:08:20Z
172.65.63.39,1,1,0.00,20.85,DFW,2026-09-08T08:08:20Z
172.64.155.196,1,1,0.00,20.98,DFW,2026-09-08T08:08:20Z
172.65.44.106,1,1,0.00,21.11,DFW,2026-09-08T08:08:20Z
172.65.55.42,1,1,0.00,21.12,DFW,2026-09-08T08:08:20Z
172.65.34.42,1,1,0.00,21.25,DFW,2026-09-08T08:08:20Z
172.65.33.189,1,1,0.00,21.46,DFW,2026-09-08T08:08:20Z
172.65.171.217,1,1,0.00,21.53,DFW,2026-09-08T08:08:20Z
172.64.154.66,1,1,0.00,21.56,DFW,2026-09-08T08:08:20Z
172.65.51.229,1,1,0.00,21.56,DFW,2026-09-08T08:08:20Z
172.65.175.93,1,1,0.00,21.68,DFW,2026-09-08T08:08:20Z
172.65.222.39,1,1,0.00,21.78,DFW,2026-09-08T08:08:20Z
172.64.185.210,1,1,0.00,21.90,DFW,2026-09-08T08:08:20Z
172.64.144.220,1,1,0.00,21.98,DFW,2026-09-08T08:08:20Z
172.64.190.16,1,1,0.00,21.99,DFW,2026-09-08T08:08:20Z
172.65.204.44,1,1,0.00,21.99,DFW,2026-09-08T08:08:20Z
172.65.190.69,1,1,0.00,22.09,DFW,2026-09-08T08:08:20Z
172.65.241.1,1,1,0.00,22.21,DFW,2026-09-08T08:08:20Z
172.65.253.250,1,1,0.00,22.23,DFW,2026-09-08T08:08:20Z
172.65.226.38,1,1,0.00,22.31,DFW,2026-09-08T08:08:20Z
172.64.150.229,1,1,0.00,22.42,DFW,2026-09-08T08:08:20Z
172.64.145.199,1,1,0.00,22.45,DFW,2026-09-08T08:08:20Z
172.65.61.30,1,1,0.00,22.56,DFW,2026-09-08T08:08:20Z
172.65.224.160,1,1,0.00,22.62,DFW,2026-09-08T08:08:20Z
172.65.206.81,1,1,0.00,22.78,DFW,2026-09-08T08:08:20Z
172.64.152.61,1,1,0.00,22.87,DFW,2026-09-08T08:08:20Z
172.64.159.64,1,1,0.00,22.87,DFW,2026-09-08T08:08:20Z
172.65.179.176,1,1,0.00,24.09,DFW,2026-09-08T08:08:20Z
172.65.229.126,1,1,0.00,27.08,DFW,2026-09-08T08:08:20Z
172.65.32.225,1,1,0.00,29.78,DFW,2026-09-08T08:08:20Z
172.65.42.88,1,1,0.00,30.87,DFW,2026-09-08T08:08:20Z
172.64.231.50,1,1,0.00,36.63,DFW,2026-09-08T08:08:20Z
172.65.247.222,1,1,0.00,37.66,DFW,2026-09-08T08:08:20Z
172.65.48.232,1,1,0.00,159.97,DFW,2026-09-08T08:08:20Z
