ip,sent,recv,loss,delay_ms,colo,updated_at_utc
104.20.5.96,1,1,0.00,10.55,LAX,2026-09-22T08:44:42Z
104.24.206.116,1,1,0.00,10.55,LAX,2026-09-22T08:44:42Z
104.25.141.239,1,1,0.00,10.55,LAX,2026-09-22T08:44:42Z
104.27.53.48,1,1,0.00,10.55,LAX,2026-09-22T08:44:42Z
172.67.70.88,1,1,0.00,10.56,LAX,2026-09-22T08:44:42Z
104.16.229.28,1,1,0.00,10.57,LAX,2026-09-22T08:44:42Z
104.18.202.62,1,1,0.00,10.57,LAX,2026-09-22T08:44:42Z
104.25.184.197,1,1,0.00,10.57,LAX,2026-09-22T08:44:42Z
104.27.36.10,1,1,0.00,10.57,LAX,2026-09-22T08:44:42Z
104.18.35.202,1,1,0.00,10.59,LAX,2026-09-22T08:44:42Z
104.24.224.83,1,1,0.00,10.59,LAX,2026-09-22T08:44:42Z
104.24.235.38,1,1,0.00,10.59,LAX,2026-09-22T08:44:42Z
104.18.129.244,1,1,0.00,10.60,LAX,2026-09-22T08:44:42Z
104.18.135.59,1,1,0.00,10.62,LAX,2026-09-22T08:44:42Z
104.18.17.170,1,1,0.00,10.62,LAX,2026-09-22T08:44:42Z
104.25.116.246,1,1,0.00,10.62,LAX,2026-09-22T08:44:42Z
172.67.182.138,1,1,0.00,10.63,LAX,2026-09-22T08:44:42Z
172.67.251.154,1,1,0.00,10.63,LAX,2026-09-22T08:44:42Z
104.27.207.33,1,1,0.00,10.64,LAX,2026-09-22T08:44:42Z
104.27.5.109,1,1,0.00,10.64,LAX,2026-09-22T08:44:42Z
104.18.85.112,1,1,0.00,10.65,LAX,2026-09-22T08:44:42Z
104.24.216.176,1,1,0.00,10.65,LAX,2026-09-22T08:44:42Z
172.67.85.88,1,1,0.00,10.65,LAX,2026-09-22T08:44:42Z
104.17.182.176,1,1,0.00,10.66,LAX,2026-09-22T08:44:42Z
104.24.162.29,1,1,0.00,10.66,LAX,2026-09-22T08:44:42Z
104.27.198.16,1,1,0.00,10.66,LAX,2026-09-22T08:44:42Z
172.67.137.136,1,1,0.00,10.66,LAX,2026-09-22T08:44:42Z
104.18.148.134,1,1,0.00,10.67,LAX,2026-09-22T08:44:42Z
104.19.0.163,1,1,0.00,10.67,LAX,2026-09-22T08:44:42Z
104.21.118.83,1,1,0.00,10.67,LAX,2026-09-22T08:44:42Z
104.21.66.234,1,1,0.00,10.67,LAX,2026-09-22T08:44:42Z
104.25.168.109,1,1,0.00,10.67,LAX,2026-09-22T08:44:42Z
104.25.53.187,1,1,0.00,10.67,LAX,2026-09-22T08:44:42Z
104.25.66.197,1,1,0.00,10.67,LAX,2026-09-22T08:44:42Z
172.67.128.201,1,1,0.00,10.68,LAX,2026-09-22T08:44:42Z
104.16.181.212,1,1,0.00,10.69,LAX,2026-09-22T08:44:42Z
104.17.183.251,1,1,0.00,10.69,LAX,2026-09-22T08:44:42Z
104.19.26.138,1,1,0.00,10.69,LAX,2026-09-22T08:44:42Z
104.24.202.156,1,1,0.00,10.69,LAX,2026-09-22T08:44:42Z
104.24.3.85,1,1,0.00,10.69,LAX,2026-09-22T08:44:42Z
104.25.185.47,1,1,0.00,10.69,LAX,2026-09-22T08:44:42Z
104.25.252.41,1,1,0.00,10.69,LAX,2026-09-22T08:44:42Z
172.67.218.154,1,1,0.00,10.69,LAX,2026-09-22T08:44:42Z
104.17.198.222,1,1,0.00,10.70,LAX,2026-09-22T08:44:42Z
104.19.40.207,1,1,0.00,10.70,LAX,2026-09-22T08:44:42Z
104.24.48.149,1,1,0.00,10.70,LAX,2026-09-22T08:44:42Z
172.67.84.65,1,1,0.00,10.70,LAX,2026-09-22T08:44:42Z
104.16.100.38,1,1,0.00,10.71,LAX,2026-09-22T08:44:42Z
104.24.147.119,1,1,0.00,10.71,LAX,2026-09-22T08:44:42Z
104.24.51.234,1,1,0.00,10.71,LAX,2026-09-22T08:44:42Z
104.27.86.49,1,1,0.00,10.71,LAX,2026-09-22T08:44:42Z
104.16.160.226,1,1,0.00,10.72,LAX,2026-09-22T08:44:42Z
104.16.17.185,1,1,0.00,10.72,LAX,2026-09-22T08:44:42Z
104.21.194.107,1,1,0.00,10.72,LAX,2026-09-22T08:44:42Z
104.21.43.121,1,1,0.00,10.72,LAX,2026-09-22T08:44:42Z
104.25.23.114,1,1,0.00,10.72,LAX,2026-09-22T08:44:42Z
104.25.96.225,1,1,0.00,10.72,LAX,2026-09-22T08:44:42Z
104.26.7.79,1,1,0.00,10.72,LAX,2026-09-22T08:44:42Z
172.67.193.1,1,1,0.00,10.72,LAX,2026-09-22T08:44:42Z
172.67.73.215,1,1,0.00,10.72,LAX,2026-09-22T08:44:42Z
104.19.212.64,1,1,0.00,10.73,LAX,2026-09-22T08:44:42Z
104.21.109.22,1,1,0.00,10.73,LAX,2026-09-22T08:44:42Z
104.21.18.29,1,1,0.00,10.73,LAX,2026-09-22T08:44:42Z
104.24.210.225,1,1,0.00,10.73,LAX,2026-09-22T08:44:42Z
104.25.63.137,1,1,0.00,10.73,LAX,2026-09-22T08:44:42Z
172.67.110.124,1,1,0.00,10.73,LAX,2026-09-22T08:44:42Z
172.67.161.77,1,1,0.00,10.73,LAX,2026-09-22T08:44:42Z
104.18.224.130,1,1,0.00,10.74,LAX,2026-09-22T08:44:42Z
104.19.48.184,1,1,0.00,10.74,LAX,2026-09-22T08:44:42Z
104.27.29.84,1,1,0.00,10.74,LAX,2026-09-22T08:44:42Z
104.18.0.90,1,1,0.00,10.75,LAX,2026-09-22T08:44:42Z
104.19.1.41,1,1,0.00,10.75,LAX,2026-09-22T08:44:42Z
104.25.71.100,1,1,0.00,10.75,LAX,2026-09-22T08:44:42Z
172.67.156.132,1,1,0.00,10.75,LAX,2026-09-22T08:44:42Z
172.67.216.124,1,1,0.00,10.75,LAX,2026-09-22T08:44:42Z
104.16.162.248,1,1,0.00,10.76,LAX,2026-09-22T08:44:42Z
104.16.202.253,1,1,0.00,10.76,LAX,2026-09-22T08:44:42Z
104.17.15.220,1,1,0.00,10.77,LAX,2026-09-22T08:44:42Z
104.17.168.239,1,1,0.00,10.77,LAX,2026-09-22T08:44:42Z
104.21.46.29,1,1,0.00,10.77,LAX,2026-09-22T08:44:42Z
104.21.72.181,1,1,0.00,10.77,LAX,2026-09-22T08:44:42Z
104.25.88.151,1,1,0.00,10.77,LAX,2026-09-22T08:44:42Z
104.27.82.192,1,1,0.00,10.77,LAX,2026-09-22T08:44:42Z
172.67.242.179,1,1,0.00,10.77,LAX,2026-09-22T08:44:42Z
104.18.2.58,1,1,0.00,10.78,LAX,2026-09-22T08:44:42Z
104.18.7.196,1,1,0.00,10.78,LAX,2026-09-22T08:44:42Z
104.25.89.243,1,1,0.00,10.78,LAX,2026-09-22T08:44:42Z
104.27.67.19,1,1,0.00,10.78,LAX,2026-09-22T08:44:42Z
172.67.250.23,1,1,0.00,10.78,LAX,2026-09-22T08:44:42Z
104.18.170.51,1,1,0.00,10.79,LAX,2026-09-22T08:44:42Z
104.18.250.100,1,1,0.00,10.79,LAX,2026-09-22T08:44:42Z
104.19.110.217,1,1,0.00,10.79,LAX,2026-09-22T08:44:42Z
104.19.230.201,1,1,0.00,10.79,LAX,2026-09-22T08:44:42Z
