ip,sent,recv,loss,delay_ms,colo,updated_at_utc
104.17.147.55,1,1,0.00,10.19,LAX,2026-09-22T08:44:42Z
104.24.39.17,1,1,0.00,10.32,LAX,2026-09-22T08:44:42Z
172.67.95.41,1,1,0.00,10.34,LAX,2026-09-22T08:44:42Z
104.18.159.41,1,1,0.00,10.35,LAX,2026-09-22T08:44:42Z
104.24.78.111,1,1,0.00,10.36,LAX,2026-09-22T08:44:42Z
104.27.30.88,1,1,0.00,10.36,LAX,2026-09-22T08:44:42Z
104.27.92.188,1,1,0.00,10.37,LAX,2026-09-22T08:44:42Z
172.67.140.173,1,1,0.00,10.38,LAX,2026-09-22T08:44:42Z
104.19.141.124,1,1,0.00,10.41,LAX,2026-09-22T08:44:42Z
104.19.27.233,1,1,0.00,10.42,LAX,2026-09-22T08:44:42Z
104.19.234.120,1,1,0.00,10.43,LAX,2026-09-22T08:44:42Z
104.25.235.55,1,1,0.00,10.47,LAX,2026-09-22T08:44:42Z
104.27.15.113,1,1,0.00,10.47,LAX,2026-09-22T08:44:42Z
104.19.134.90,1,1,0.00,10.48,LAX,2026-09-22T08:44:42Z
104.21.88.46,1,1,0.00,10.49,LAX,2026-09-22T08:44:42Z
104.26.6.30,1,1,0.00,10.49,LAX,2026-09-22T08:44:42Z
104.27.205.144,1,1,0.00,10.49,LAX,2026-09-22T08:44:42Z
104.16.71.116,1,1,0.00,10.50,LAX,2026-09-22T08:44:42Z
104.25.255.208,1,1,0.00,10.50,LAX,2026-09-22T08:44:42Z
104.18.139.56,1,1,0.00,10.51,LAX,2026-09-22T08:44:42Z
104.25.107.44,1,1,0.00,10.51,LAX,2026-09-22T08:44:42Z
104.25.114.155,1,1,0.00,10.51,LAX,2026-09-22T08:44:42Z
104.24.19.30,1,1,0.00,10.52,LAX,2026-09-22T08:44:42Z
104.24.79.144,1,1,0.00,10.52,LAX,2026-09-22T08:44:42Z
104.18.66.55,1,1,0.00,10.53,LAX,2026-09-22T08:44:42Z
104.16.52.12,1,1,0.00,10.54,LAX,2026-09-22T08:44:42Z
104.20.43.74,1,1,0.00,10.55,LAX,2026-09-22T08:44:42Z
