ip,sent,recv,loss,delay_ms,colo,updated_at_utc
172.64.88.2,1,1,0.00,3.68,SJC,2026-09-01T08:42:10Z
172.64.76.159,1,1,0.00,3.81,SJC,2026-09-01T08:42:10Z
172.64.84.195,1,1,0.00,3.89,SJC,2026-09-01T08:42:10Z
172.64.80.135,1,1,0.00,3.94,SJC,2026-09-01T08:42:10Z
172.64.92.212,1,1,0.00,4.09,SJC,2026-09-01T08:42:10Z
172.64.94.93,1,1,0.00,4.11,SJC,2026-09-01T08:42:10Z
172.64.75.147,1,1,0.00,4.14,SJC,2026-09-01T08:42:10Z
172.64.89.35,1,1,0.00,4.18,SJC,2026-09-01T08:42:10Z
172.64.82.165,1,1,0.00,4.21,SJC,2026-09-01T08:42:10Z
141.101.113.129,1,1,0.00,4.33,SJC,2026-09-01T08:42:10Z
141.101.120.190,1,1,0.00,4.34,SJC,2026-09-01T08:42:10Z
172.64.229.63,1,1,0.00,4.35,SJC,2026-09-01T08:42:10Z
141.101.121.63,1,1,0.00,4.36,SJC,2026-09-01T08:42:10Z
172.64.79.15,1,1,0.00,4.36,SJC,2026-09-01T08:42:10Z
172.64.81.118,1,1,0.00,4.42,SJC,2026-09-01T08:42:10Z
172.64.85.98,1,1,0.00,4.45,SJC,2026-09-01T08:42:10Z
172.64.91.155,1,1,0.00,4.50,SJC,2026-09-01T08:42:10Z
141.101.123.15,1,1,0.00,4.67,SJC,2026-09-01T08:42:10Z
172.64.90.180,1,1,0.00,4.76,SJC,2026-09-01T08:42:10Z
172.64.66.159,1,1,0.00,4.83,SJC,2026-09-01T08:42:10Z
172.64.87.137,1,1,0.00,4.95,SJC,2026-09-01T08:42:10Z
172.64.95.250,1,1,0.00,4.97,SJC,2026-09-01T08:42:10Z
173.245.49.75,1,1,0.00,5.08,SJC,2026-09-01T08:42:10Z
172.64.77.235,1,1,0.00,5.12,SJC,2026-09-01T08:42:10Z
141.101.122.224,1,1,0.00,5.13,SJC,2026-09-01T08:42:10Z
172.64.74.236,1,1,0.00,5.38,SJC,2026-09-01T08:42:10Z
141.101.115.106,1,1,0.00,5.40,SJC,2026-09-01T08:42:10Z
172.64.72.143,1,1,0.00,6.39,SJC,2026-09-01T08:42:10Z
172.64.83.219,1,1,0.00,6.89,SJC,2026-09-01T08:42:10Z
141.101.114.225,1,1,0.00,6.93,SJC,2026-09-01T08:42:10Z
172.64.67.247,1,1,0.00,7.22,SJC,2026-09-01T08:42:10Z
172.64.93.40,1,1,0.00,7.60,SJC,2026-09-01T08:42:10Z
172.64.69.72,1,1,0.00,8.73,SJC,2026-09-01T08:42:10Z
172.64.86.63,1,1,0.00,9.77,SJC,2026-09-01T08:42:10Z
172.64.68.244,1,1,0.00,13.17,SJC,2026-09-01T08:42:10Z
172.64.78.217,1,1,0.00,71.58,EWR,2026-09-01T08:42:10Z
